Job Title,Experience Level,Location,Key Technologies,Job Description
Cloud Architect,Mid,Bandung,"Azure, GCP, CloudFormation",Merancang solusi arsitektur cloud yang skalabel dan aman.
DevOps Engineer,Lead,Remote,"Terraform, Kubernetes, AWS",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Mid,Jakarta,"Swift, Dart, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Product Manager,Junior,Remote,"Confluence, Scrum, JIRA",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
UI/UX Designer,Mid,Surabaya,"InVision, Figma, Photoshop",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
QA Engineer,Lead,Bali,"TestRail, Cypress, Postman",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Senior,Bandung,"Pandas, Python, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Mid,Remote,"R, Pandas, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Junior,Remote,"Docker, AWS, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Frontend Developer,Mid,Bali,"HTML, Vue.js, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Lead,Yogyakarta,"Agile, JIRA, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Junior,Yogyakarta,"Kubernetes, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Lead,Surabaya,"React Native, Swift, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
QA Engineer,Lead,Bali,"Postman, Cypress, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Mobile Developer,Senior,Surabaya,"Kotlin, React Native, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
QA Engineer,Mid,Yogyakarta,"Postman, Cypress, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Junior,Bali,"Python, Scikit-learn, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Mobile Developer,Junior,Yogyakarta,"Dart, Kotlin, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Junior,Bandung,"Terraform, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Machine Learning Engineer,Junior,Jakarta,"scikit-learn, TensorFlow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
UI/UX Designer,Mid,Surabaya,"Figma, Photoshop, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
UI/UX Designer,Senior,Bali,"Photoshop, Figma, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Product Manager,Mid,Remote,"User Research, Confluence, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Product Manager,Senior,Yogyakarta,"Confluence, User Research, JIRA",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Machine Learning Engineer,Senior,Remote,"MLflow, scikit-learn, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
QA Engineer,Junior,Bandung,"Postman, JMeter, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
QA Engineer,Senior,Surabaya,"Postman, TestRail, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Backend Developer,Mid,Bali,"Java, Node.js, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Junior,Bandung,"React, Vue.js, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Machine Learning Engineer,Mid,Bali,"scikit-learn, PyTorch, Python",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Backend Developer,Senior,Yogyakarta,"SQL, Node.js, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Product Manager,Junior,Bandung,"Scrum, Confluence, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Mobile Developer,Lead,Surabaya,"Swift, Dart, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Cloud Architect,Lead,Jakarta,"CloudFormation, Azure, AWS",Merancang solusi arsitektur cloud yang skalabel dan aman.
Cloud Architect,Mid,Yogyakarta,"GCP, CloudFormation, Azure",Merancang solusi arsitektur cloud yang skalabel dan aman.
UI/UX Designer,Junior,Remote,"Adobe XD, InVision, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Frontend Developer,Junior,Surabaya,"React, CSS, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Senior,Jakarta,"Kubernetes, Linux, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Senior,Bali,"Sketch, Adobe XD, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
UI/UX Designer,Senior,Yogyakarta,"Sketch, Figma, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Senior,Yogyakarta,"Python, Pandas, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Cloud Architect,Senior,Bali,"GCP, Azure, AWS",Merancang solusi arsitektur cloud yang skalabel dan aman.
Product Manager,Senior,Bandung,"Confluence, User Research, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Cloud Architect,Junior,Jakarta,"GCP, Azure, CloudFormation",Merancang solusi arsitektur cloud yang skalabel dan aman.
QA Engineer,Lead,Jakarta,"Postman, TestRail, JMeter",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Cloud Architect,Mid,Jakarta,"Ansible, Azure, AWS",Merancang solusi arsitektur cloud yang skalabel dan aman.
Cloud Architect,Senior,Surabaya,"CloudFormation, Azure, GCP",Merancang solusi arsitektur cloud yang skalabel dan aman.
Data Scientist,Mid,Bali,"Python, Pandas, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Senior,Remote,"Go, Java, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
DevOps Engineer,Mid,Bali,"AWS, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Product Manager,Mid,Jakarta,"User Research, JIRA, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Junior,Remote,"Kubernetes, Linux, AWS",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Mid,Jakarta,"Sketch, Adobe XD, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Mobile Developer,Junior,Bandung,"Flutter, React Native, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Lead,Surabaya,"AWS, Docker, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Product Manager,Lead,Bali,"User Research, Confluence, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Cloud Architect,Senior,Surabaya,"Azure, CloudFormation, GCP",Merancang solusi arsitektur cloud yang skalabel dan aman.
Backend Developer,Lead,Jakarta,"Go, Node.js, Java",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Cloud Architect,Mid,Bandung,"Ansible, Azure, CloudFormation",Merancang solusi arsitektur cloud yang skalabel dan aman.
Data Scientist,Lead,Surabaya,"Python, TensorFlow, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Machine Learning Engineer,Lead,Yogyakarta,"MLflow, scikit-learn, Python",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Frontend Developer,Senior,Jakarta,"HTML, React, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Frontend Developer,Mid,Remote,"HTML, CSS, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Cloud Architect,Junior,Bandung,"Azure, AWS, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Mobile Developer,Senior,Yogyakarta,"Kotlin, Swift, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Lead,Jakarta,"Linux, AWS, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Lead,Bali,"TensorFlow, R, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Senior,Jakarta,"Scikit-learn, R, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Mid,Bandung,"Node.js, Java, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Machine Learning Engineer,Junior,Jakarta,"scikit-learn, TensorFlow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
UI/UX Designer,Junior,Yogyakarta,"Photoshop, InVision, Adobe XD",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Lead,Remote,"TensorFlow, Python, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Product Manager,Junior,Bali,"Scrum, Agile, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Mobile Developer,Lead,Bandung,"React Native, Dart, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
UI/UX Designer,Lead,Bali,"InVision, Sketch, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
UI/UX Designer,Lead,Bali,"Photoshop, Sketch, Figma",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Product Manager,Mid,Jakarta,"Scrum, User Research, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Frontend Developer,Senior,Surabaya,"HTML, React, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Cloud Architect,Lead,Bali,"AWS, Azure, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Data Scientist,Mid,Bali,"TensorFlow, Pandas, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Frontend Developer,Junior,Bali,"React, HTML, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Backend Developer,Mid,Bali,"SQL, Python, Java",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Machine Learning Engineer,Lead,Jakarta,"scikit-learn, Python, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Lead,Surabaya,"AWS, Kubernetes, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Lead,Remote,"Python, Pandas, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Frontend Developer,Junior,Remote,"HTML, React, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Machine Learning Engineer,Lead,Jakarta,"PyTorch, Python, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
QA Engineer,Junior,Bandung,"Postman, JMeter, Selenium",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Machine Learning Engineer,Mid,Remote,"MLflow, scikit-learn, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Mid,Bandung,"Kubernetes, Docker, Terraform",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Lead,Bandung,"Node.js, Java, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Data Scientist,Mid,Remote,"R, Scikit-learn, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Lead,Remote,"Kubernetes, Terraform, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Machine Learning Engineer,Senior,Bali,"MLflow, scikit-learn, Python",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
DevOps Engineer,Mid,Remote,"Linux, Terraform, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Product Manager,Mid,Surabaya,"User Research, Scrum, JIRA",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Mobile Developer,Senior,Bandung,"Swift, Kotlin, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Product Manager,Senior,Surabaya,"Confluence, User Research, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
UI/UX Designer,Junior,Jakarta,"Adobe XD, InVision, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Backend Developer,Senior,Yogyakarta,"Python, SQL, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
DevOps Engineer,Lead,Bandung,"Terraform, Kubernetes, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Lead,Bandung,"Scikit-learn, R, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Mobile Developer,Senior,Bali,"Kotlin, Dart, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Product Manager,Senior,Bali,"Confluence, User Research, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
QA Engineer,Junior,Bandung,"TestRail, Postman, Cypress",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Cloud Architect,Junior,Remote,"CloudFormation, Azure, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
DevOps Engineer,Lead,Yogyakarta,"Kubernetes, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Machine Learning Engineer,Mid,Surabaya,"TensorFlow, MLflow, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Cloud Architect,Senior,Remote,"CloudFormation, Azure, GCP",Merancang solusi arsitektur cloud yang skalabel dan aman.
Backend Developer,Junior,Jakarta,"SQL, Java, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Mobile Developer,Mid,Yogyakarta,"Flutter, Dart, Kotlin",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Cloud Architect,Senior,Surabaya,"GCP, Azure, CloudFormation",Merancang solusi arsitektur cloud yang skalabel dan aman.
Machine Learning Engineer,Senior,Jakarta,"PyTorch, Python, MLflow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Mobile Developer,Junior,Bandung,"Flutter, React Native, Kotlin",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Lead,Jakarta,"Vue.js, JavaScript, HTML",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
QA Engineer,Senior,Remote,"Selenium, JMeter, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Frontend Developer,Lead,Bali,"CSS, Vue.js, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Senior,Remote,"JIRA, Agile, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
QA Engineer,Senior,Bali,"TestRail, Cypress, Postman",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Data Scientist,Mid,Bali,"TensorFlow, Scikit-learn, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Junior,Bali,"Kubernetes, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Frontend Developer,Senior,Yogyakarta,"HTML, Vue.js, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Data Scientist,Mid,Remote,"TensorFlow, Scikit-learn, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Machine Learning Engineer,Senior,Surabaya,"TensorFlow, Python, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Mobile Developer,Senior,Yogyakarta,"React Native, Flutter, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Mid,Remote,"Docker, AWS, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Junior,Jakarta,"React Native, Kotlin, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Frontend Developer,Senior,Bali,"CSS, HTML, React",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Frontend Developer,Lead,Jakarta,"React, JavaScript, HTML",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Lead,Yogyakarta,"Docker, AWS, Linux",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Backend Developer,Mid,Surabaya,"Java, Go, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Mid,Remote,"JavaScript, Vue.js, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Backend Developer,Lead,Bandung,"Java, Go, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Product Manager,Senior,Yogyakarta,"User Research, JIRA, Agile",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Mid,Jakarta,"Terraform, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
DevOps Engineer,Senior,Surabaya,"AWS, Linux, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Frontend Developer,Junior,Surabaya,"HTML, CSS, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Cloud Architect,Junior,Bali,"CloudFormation, GCP, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Mobile Developer,Lead,Yogyakarta,"Swift, Kotlin, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Data Scientist,Senior,Bandung,"TensorFlow, Scikit-learn, Pandas",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Frontend Developer,Mid,Bali,"JavaScript, React, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Frontend Developer,Senior,Bandung,"Vue.js, CSS, React",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Mobile Developer,Lead,Yogyakarta,"Dart, React Native, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Data Scientist,Lead,Yogyakarta,"R, Pandas, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
UI/UX Designer,Mid,Bali,"Sketch, Adobe XD, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Machine Learning Engineer,Mid,Bandung,"scikit-learn, MLflow, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Cloud Architect,Lead,Bandung,"AWS, Azure, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Frontend Developer,Junior,Remote,"CSS, HTML, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
QA Engineer,Junior,Yogyakarta,"TestRail, Cypress, Postman",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Backend Developer,Senior,Remote,"Java, Go, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Frontend Developer,Lead,Jakarta,"Vue.js, React, CSS",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
UI/UX Designer,Senior,Bandung,"Photoshop, InVision, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Cloud Architect,Junior,Bali,"Ansible, CloudFormation, AWS",Merancang solusi arsitektur cloud yang skalabel dan aman.
Data Scientist,Junior,Yogyakarta,"Pandas, R, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Mid,Jakarta,"Linux, AWS, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
DevOps Engineer,Mid,Yogyakarta,"Linux, Docker, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Junior,Yogyakarta,"R, Python, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Senior,Jakarta,"Go, SQL, Node.js",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Backend Developer,Mid,Bali,"Node.js, Python, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Cloud Architect,Mid,Remote,"AWS, Azure, Ansible",Merancang solusi arsitektur cloud yang skalabel dan aman.
Data Scientist,Junior,Bali,"R, TensorFlow, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Senior,Remote,"Terraform, Docker, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
UI/UX Designer,Senior,Yogyakarta,"Photoshop, Sketch, Adobe XD",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Machine Learning Engineer,Junior,Surabaya,"MLflow, Python, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
UI/UX Designer,Mid,Bali,"Sketch, Adobe XD, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Junior,Bali,"Python, Pandas, Scikit-learn",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Data Scientist,Senior,Bandung,"Python, Scikit-learn, R",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
DevOps Engineer,Senior,Bandung,"Docker, Terraform, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Data Scientist,Junior,Surabaya,"TensorFlow, Pandas, Python",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
QA Engineer,Lead,Jakarta,"JMeter, Cypress, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Machine Learning Engineer,Senior,Bali,"MLflow, PyTorch, TensorFlow",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Frontend Developer,Junior,Remote,"React, Vue.js, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
DevOps Engineer,Mid,Bandung,"Kubernetes, Linux, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
QA Engineer,Mid,Yogyakarta,"Cypress, JMeter, TestRail",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
UI/UX Designer,Junior,Bandung,"Sketch, Adobe XD, InVision",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Data Scientist,Mid,Remote,"R, Python, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
UI/UX Designer,Mid,Bali,"InVision, Figma, Photoshop",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Frontend Developer,Junior,Remote,"React, CSS, JavaScript",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Product Manager,Mid,Yogyakarta,"User Research, Agile, Confluence",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Frontend Developer,Senior,Remote,"CSS, Vue.js, React",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Mobile Developer,Lead,Jakarta,"Kotlin, Dart, Swift",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Data Scientist,Mid,Surabaya,"R, Scikit-learn, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
QA Engineer,Lead,Yogyakarta,"Selenium, JMeter, Cypress",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
Cloud Architect,Junior,Jakarta,"CloudFormation, AWS, Azure",Merancang solusi arsitektur cloud yang skalabel dan aman.
UI/UX Designer,Junior,Jakarta,"InVision, Figma, Photoshop",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
